ProbeName	6302A	6302B	6302C	6302D
392414-393112	1.30E+04	1.43E+04	1.64E+04	1.57E+04
392414-393112	1.19E+04	1.71E+04	1.56E+04	1.38E+04
3930326-3931282	6.56E+03	4.87E+03	6.84E+03	6.89E+03
3930326-3931282	6.29E+03	5.16E+03	5.93E+03	6.90E+03
3930326-3931282	7.06E+03	5.31E+03	6.80E+03	6.80E+03
3930326-3931282	6.35E+03	5.58E+03	6.09E+03	6.61E+03
393102-393923	1.67E+04	2.07E+04	2.02E+04	1.70E+04
393102-393923	1.83E+04	1.94E+04	2.18E+04	1.68E+04
393102-393923	1.64E+04	1.76E+04	1.98E+04	1.66E+04
393102-393923	1.80E+04	1.98E+04	2.11E+04	1.68E+04
3936975-3937613	6.07E+02	8.59E+02	6.03E+02	6.51E+02
3936975-3937613	1.02E+03	9.81E+02	6.35E+02	6.63E+02
3936975-3937613	7.83E+02	9.37E+02	6.73E+02	6.00E+02
3936975-3937613	7.76E+02	9.33E+02	9.62E+02	8.88E+02
394178-396442	1.50E+04	2.30E+04	2.22E+04	1.58E+04
394178-396442	1.86E+04	2.13E+04	1.89E+04	1.74E+04
394178-396442	1.81E+04	2.12E+04	1.85E+04	1.69E+04
394178-396442	1.96E+04	2.30E+04	1.68E+04	1.65E+04
396459-397757	4.37E+04	4.97E+04	4.17E+04	3.93E+04
396459-397757	4.23E+04	5.27E+04	4.52E+04	4.14E+04
396459-397757	4.33E+04	5.85E+04	4.23E+04	4.13E+04
396459-397757	4.13E+04	5.61E+04	4.33E+04	4.35E+04
397788-398540	4.25E+04	3.80E+04	4.55E+04	4.67E+04
397788-398540	4.20E+04	3.69E+04	4.88E+04	4.26E+04
397788-398540	4.27E+04	3.84E+04	5.20E+04	4.74E+04
397788-398540	4.17E+04	3.97E+04	4.75E+04	4.58E+04
3982188-3983669	3.16E+04	2.85E+04	3.78E+04	3.79E+04
3982188-3983669	3.29E+04	2.80E+04	3.97E+04	3.80E+04
3982188-3983669	3.23E+04	2.70E+04	3.56E+04	3.43E+04
3982188-3983669	3.28E+04	2.76E+04	3.96E+04	3.79E+04
3983987-3984484	2.08E+04	2.21E+04	2.65E+04	2.24E+04
3983987-3984484	1.85E+04	2.37E+04	2.90E+04	2.66E+04
3983987-3984484	2.65E+04	2.51E+04	3.13E+04	2.59E+04
3983987-3984484	2.19E+04	2.41E+04	2.99E+04	2.75E+04
3984501-3986387	3.18E+04	3.35E+04	4.22E+04	4.26E+04
3984501-3986387	3.21E+04	3.35E+04	4.76E+04	3.88E+04
3984501-3986387	3.08E+04	3.18E+04	4.02E+04	3.90E+04
3984501-3986387	3.08E+04	3.44E+04	4.36E+04	4.00E+04
398605-399129	6.73E+04	6.26E+04	7.10E+04	7.73E+04
398605-399129	7.72E+04	6.51E+04	7.92E+04	7.90E+04
398605-399129	6.61E+04	6.10E+04	7.70E+04	7.38E+04
398605-399129	6.78E+04	6.39E+04	7.58E+04	7.57E+04
3986410-3988191	3.48E+04	2.65E+04	4.09E+04	3.73E+04
3986410-3988191	3.57E+04	2.77E+04	4.47E+04	4.04E+04
3986410-3988191	3.46E+04	2.65E+04	3.91E+04	3.78E+04
3986410-3988191	3.43E+04	2.66E+04	4.38E+04	4.07E+04
399807-401888	7.92E+02	8.99E+02	7.08E+02	1.15E+03
399807-401888	7.54E+02	9.17E+02	1.68E+03	1.58E+03
399807-401888	1.62E+03	9.86E+02	6.99E+02	1.17E+03
399807-401888	7.67E+02	7.49E+02	8.44E+02	1.15E+03
4031482-4032354	4.22E+03	5.68E+03	4.67E+03	4.61E+03
4031482-4032354	5.38E+03	5.51E+03	4.94E+03	4.83E+03
4031482-4032354	4.68E+03	4.81E+03	4.88E+03	4.40E+03
4031482-4032354	4.91E+03	5.20E+03	5.34E+03	4.56E+03
4042733-4043650	5.59E+03	3.66E+03	5.49E+03	5.10E+03
4042733-4043650	5.55E+03	3.84E+03	5.46E+03	5.36E+03
4042733-4043650	4.94E+03	3.86E+03	5.24E+03	5.38E+03
4042733-4043650	5.31E+03	3.90E+03	4.90E+03	5.01E+03
4044971-4045696	5.81E+03	4.69E+03	5.46E+03	5.35E+03
4044971-4045696	6.84E+03	5.45E+03	5.66E+03	5.37E+03
4044971-4045696	6.47E+03	5.43E+03	6.51E+03	6.21E+03
4044971-4045696	5.87E+03	4.77E+03	5.94E+03	5.45E+03
4045779-4046933	3.47E+03	3.29E+03	3.04E+03	3.54E+03
4045779-4046933	2.95E+03	3.30E+03	4.54E+03	3.24E+03
4045779-4046933	3.60E+03	3.22E+03	3.73E+03	4.00E+03
4045779-4046933	3.59E+03	3.60E+03	3.90E+03	4.13E+03
404609-407251	2.50E+02	2.32E+02	3.14E+02	1.81E+02
404609-407251	2.72E+02	2.52E+02	4.22E+02	3.70E+02
404609-407251	2.96E+02	2.11E+02	4.60E+02	2.24E+02
404609-407251	3.00E+02	2.16E+02	1.39E+02	2.41E+02
4050029-4050598	1.15E+03	1.11E+03	1.02E+03	9.91E+02
4050029-4050598	1.16E+03	1.16E+03	8.89E+02	1.06E+03
4050029-4050598	1.12E+03	1.10E+03	9.29E+02	8.01E+02
4050029-4050598	9.93E+02	1.14E+03	7.93E+02	9.51E+02
40921-41385	1.69E+04	8.89E+03	1.39E+04	1.24E+04
40921-41385	1.77E+04	9.75E+03	1.60E+04	1.38E+04
40921-41385	1.49E+04	8.37E+03	1.54E+04	1.39E+04
40921-41385	1.68E+04	9.09E+03	1.45E+04	1.44E+04
4110891-4112243	3.35E+04	4.33E+04	1.10E+04	3.04E+04
4110891-4112243	3.75E+04	4.71E+04	3.43E+04	2.91E+04
4110891-4112243	3.82E+04	4.43E+04	3.39E+04	2.79E+04
4110891-4112243	4.26E+04	5.16E+04	3.63E+04	2.55E+04
411452-412387	4.69E+02	4.95E+02	3.59E+02	3.26E+02
411452-412387	5.07E+02	4.49E+02	6.33E+02	5.98E+02
411452-412387	4.07E+02	4.82E+02	4.89E+02	4.56E+02
411452-412387	4.61E+02	6.06E+02	3.13E+02	4.40E+02
412406-413143	1.82E+03	1.49E+03	2.32E+03	1.93E+03
412406-413143	1.98E+03	1.63E+03	1.83E+03	2.06E+03
412406-413143	1.83E+03	1.59E+03	2.03E+03	1.74E+03
412406-413143	1.70E+03	1.47E+03	1.98E+03	1.80E+03
4137954-4139384	2.17E+04	2.56E+04	2.20E+04	1.96E+04
4137954-4139384	2.02E+04	2.21E+04	1.96E+04	1.80E+04
4137954-4139384	2.27E+04	2.37E+04	3.69E+04	2.05E+04
4137954-4139384	1.93E+04	2.21E+04	2.17E+04	1.91E+04
41392-41886	1.41E+04	7.84E+03	3.72E+03	9.71E+03
41392-41886	1.57E+04	9.08E+03	1.04E+04	1.06E+04
41392-41886	1.49E+04	8.60E+03	8.94E+03	1.13E+04
41392-41886	1.60E+04	9.38E+03	1.08E+04	9.66E+03
4139421-4139849	5.82E+04	6.10E+04	6.79E+04	6.29E+04
4139421-4139849	6.11E+04	6.09E+04	7.13E+04	6.39E+04
4139421-4139849	5.90E+04	5.88E+04	6.39E+04	6.05E+04
4139421-4139849	6.17E+04	5.91E+04	6.31E+04	5.71E+04
4145-6046	1.00E+05	8.61E+04	1.32E+05	1.28E+05
4145-6046	9.70E+04	8.23E+04	1.38E+05	1.24E+05
4145-6046	1.13E+05	8.66E+04	1.39E+05	1.27E+05
4145-6046	1.16E+05	9.20E+04	1.45E+05	1.32E+05
4179603-4179830	7.77E+03	4.99E+03	6.94E+03	7.51E+03
4179603-4179830	8.15E+03	5.06E+03	7.38E+03	7.84E+03
4179603-4179830	7.00E+03	5.08E+03	7.41E+03	8.09E+03
4179603-4179830	8.00E+03	5.03E+03	7.14E+03	7.92E+03
4180960-4181832	1.17E+04	1.52E+04	1.36E+04	1.27E+04
4180960-4181832	1.25E+04	1.35E+04	1.48E+04	1.29E+04
4180960-4181832	1.24E+04	1.45E+04	1.18E+04	1.15E+04
4180960-4181832	1.36E+04	1.58E+04	1.39E+04	1.34E+04
4181832-4182497	2.31E+04	2.05E+04	2.44E+04	2.41E+04
4181832-4182497	1.90E+04	1.98E+04	2.60E+04	2.11E+04
4181832-4182497	2.08E+04	1.88E+04	2.67E+04	2.41E+04
4181832-4182497	2.30E+04	2.16E+04	2.73E+04	2.43E+04
4182518-4183375	1.04E+04	1.03E+04	2.26E+03	1.01E+04
4182518-4183375	1.02E+04	1.05E+04	1.17E+04	9.51E+03
4182518-4183375	9.23E+03	1.14E+04	9.38E+03	9.56E+03
4182518-4183375	9.40E+03	1.10E+04	1.06E+04	9.90E+03
41902-42927	1.90E+04	1.31E+04	1.54E+04	1.41E+04
41902-42927	1.27E+04	1.34E+04	1.32E+04	1.43E+04
41902-42927	1.68E+04	1.30E+04	1.39E+04	1.42E+04
41902-42927	1.71E+04	1.40E+04	1.44E+04	1.38E+04
419403-420134	3.57E+03	3.26E+03	4.11E+03	3.76E+03
419403-420134	3.85E+03	3.13E+03	3.21E+03	3.10E+03
419403-420134	3.74E+03	3.43E+03	3.38E+03	3.24E+03
419403-420134	4.16E+03	3.59E+03	3.29E+03	3.20E+03
4201307-4202536	1.38E+04	1.29E+04	1.49E+04	1.49E+04
4201307-4202536	1.58E+04	1.36E+04	1.74E+04	1.74E+04
4201307-4202536	1.48E+04	1.34E+04	1.69E+04	1.62E+04
4201307-4202536	1.42E+04	1.33E+04	1.44E+04	1.46E+04
420193-421104	1.17E+04	9.61E+03	1.04E+04	9.54E+03
420193-421104	1.09E+04	9.48E+03	9.95E+03	9.61E+03
420193-421104	1.09E+04	9.25E+03	1.09E+04	1.05E+04
420193-421104	1.21E+04	1.02E+04	8.60E+03	9.59E+03
4209384-4210118	1.23E+04	9.34E+03	1.35E+04	1.29E+04
4209384-4210118	1.13E+04	8.22E+03	1.40E+04	1.33E+04
4209384-4210118	1.30E+04	9.79E+03	1.42E+04	1.34E+04
4209384-4210118	1.11E+04	9.15E+03	1.28E+04	1.08E+04
421155-421967	1.65E+04	1.72E+04	1.26E+04	1.30E+04
421155-421967	1.56E+04	1.73E+04	1.52E+04	1.02E+04
421155-421967	1.64E+04	1.93E+04	1.42E+04	1.03E+04
421155-421967	1.55E+04	1.91E+04	1.22E+04	1.07E+04
4219388-4219840	6.99E+02	3.10E+02	4.40E+02	4.66E+02
4219388-4219840	7.53E+02	3.70E+02	7.45E+02	4.26E+02
4219388-4219840	6.02E+02	3.90E+02	3.84E+02	4.92E+02
4219388-4219840	6.33E+02	3.27E+02	3.48E+02	3.95E+02
422075-422767	6.89E+03	7.00E+03	1.18E+04	1.16E+04
422075-422767	9.96E+03	7.24E+03	1.18E+04	1.18E+04
422075-422767	9.10E+03	6.80E+03	1.17E+04	1.14E+04
422075-422767	9.41E+03	6.19E+03	1.18E+04	1.09E+04
4225000-4225383	1.14E+04	1.06E+04	1.12E+04	1.12E+04
4225000-4225383	1.15E+04	1.08E+04	1.23E+04	1.08E+04
4225000-4225383	1.28E+04	1.13E+04	1.18E+04	1.17E+04
4225000-4225383	1.24E+04	1.08E+04	1.23E+04	1.11E+04
422833-423795	3.85E+03	4.12E+03	3.16E+03	2.90E+03
422833-423795	3.78E+03	5.04E+03	4.64E+03	3.62E+03
422833-423795	4.23E+03	4.97E+03	4.27E+03	3.84E+03
422833-423795	4.08E+03	5.47E+03	4.57E+03	3.92E+03
4248297-4249178	3.30E+03	3.23E+03	3.57E+03	3.86E+03
4248297-4249178	3.42E+03	3.28E+03	3.67E+03	3.71E+03
4248297-4249178	3.48E+03	3.33E+03	3.84E+03	3.42E+03
4248297-4249178	3.07E+03	3.18E+03	3.10E+03	3.31E+03
425143-425703	2.35E+04	2.02E+04	2.00E+04	1.80E+04
425143-425703	2.68E+04	2.07E+04	2.20E+04	1.66E+04
425143-425703	2.59E+04	2.03E+04	2.16E+04	1.93E+04
425143-425703	2.94E+04	2.24E+04	2.36E+04	1.96E+04
425731-426222	3.05E+04	1.79E+04	2.25E+04	2.80E+04
425731-426222	2.54E+04	1.96E+04	2.68E+04	2.71E+04
425731-426222	3.33E+04	1.79E+04	2.11E+04	2.95E+04
425731-426222	3.20E+04	1.70E+04	2.87E+04	2.79E+04
4263091-4264149	4.08E+03	5.18E+03	3.88E+03	3.22E+03
4263091-4264149	4.12E+03	5.57E+03	2.77E+03	2.95E+03
4263091-4264149	4.09E+03	5.34E+03	3.24E+03	3.23E+03
4263091-4264149	3.67E+03	4.79E+03	3.22E+03	2.94E+03
4264158-4265150	7.87E+03	6.86E+03	8.36E+03	8.89E+03
4264158-4265150	8.08E+03	6.16E+03	8.86E+03	7.73E+03
4264158-4265150	7.75E+03	6.08E+03	8.09E+03	8.07E+03
4264158-4265150	9.15E+03	6.51E+03	7.06E+03	8.56E+03
426451-427002	1.61E+03	1.88E+03	1.99E+03	1.89E+03
426451-427002	1.93E+03	2.03E+03	2.27E+03	2.15E+03
426451-427002	1.79E+03	1.98E+03	2.18E+03	2.04E+03
426451-427002	1.52E+03	1.81E+03	1.73E+03	2.02E+03
427088-428020	1.02E+03	1.52E+03	1.54E+03	1.32E+03
427088-428020	1.14E+03	1.13E+03	1.51E+03	1.53E+03
427088-428020	1.17E+03	1.50E+03	1.56E+03	1.30E+03
427088-428020	1.28E+03	1.58E+03	2.04E+03	1.34E+03
4278618-4279193	4.24E+04	3.85E+04	5.53E+04	5.35E+04
4278618-4279193	4.75E+04	3.76E+04	5.13E+04	5.39E+04
4278618-4279193	4.24E+04	3.84E+04	4.89E+04	5.31E+04
4278618-4279193	4.91E+04	3.70E+04	5.17E+04	5.16E+04
428111-428677	9.27E+02	7.92E+02	1.24E+03	9.88E+02
428111-428677	9.11E+02	9.03E+02	1.63E+03	1.09E+03
428111-428677	8.20E+02	8.85E+02	9.61E+02	1.17E+03
428111-428677	9.88E+02	9.68E+02	9.88E+02	1.01E+03
42914-45361	1.69E+04	1.92E+04	1.80E+04	1.73E+04
42914-45361	1.62E+04	1.90E+04	1.83E+04	1.69E+04
42914-45361	1.58E+04	1.84E+04	1.69E+04	1.47E+04
42914-45361	1.55E+04	1.76E+04	1.74E+04	1.56E+04
45541-46914	9.51E+03	1.05E+04	1.01E+04	8.89E+03
45541-46914	8.63E+03	1.02E+04	9.04E+03	9.54E+03
45541-46914	1.03E+04	1.10E+04	9.55E+03	9.71E+03
45541-46914	8.97E+03	9.44E+03	1.00E+04	9.34E+03
457410-459272	5.28E+03	3.99E+03	6.40E+03	6.50E+03
457410-459272	4.79E+03	4.67E+03	7.13E+03	7.10E+03
457410-459272	4.90E+03	4.61E+03	6.97E+03	6.84E+03
457410-459272	4.90E+03	4.57E+03	7.09E+03	7.24E+03
459275-460741	3.13E+03	2.29E+03	3.83E+03	3.18E+03
459275-460741	3.48E+03	2.36E+03	4.54E+03	3.92E+03
459275-460741	3.26E+03	2.48E+03	3.70E+03	3.21E+03
459275-460741	2.84E+03	2.57E+03	3.90E+03	3.34E+03
460765-461601	1.87E+03	1.73E+03	2.56E+03	2.03E+03
460765-461601	2.19E+03	1.84E+03	2.22E+03	2.13E+03
460765-461601	2.01E+03	1.84E+03	2.58E+03	2.21E+03
460765-461601	1.94E+03	1.91E+03	2.35E+03	2.03E+03
462184-463767	9.10E+02	1.23E+03	6.71E+02	5.42E+02
462184-463767	9.80E+02	1.25E+03	9.41E+02	9.91E+02
462184-463767	9.18E+02	1.36E+03	8.03E+02	6.29E+02
462184-463767	7.65E+02	1.38E+03	6.20E+02	7.38E+02
467033-468232	4.32E+04	5.42E+04	5.87E+04	4.89E+04
467033-468232	4.85E+04	5.49E+04	5.68E+04	5.22E+04
467033-468232	4.80E+04	5.96E+04	6.75E+04	5.57E+04
467033-468232	4.71E+04	6.06E+04	5.84E+04	5.19E+04
468262-469071	8.12E+04	9.03E+04	1.34E+05	1.23E+05
468262-469071	1.10E+05	9.77E+04	1.40E+05	1.28E+05
468262-469071	1.10E+05	9.93E+04	1.32E+05	1.26E+05
468262-469071	1.06E+05	9.30E+04	1.19E+05	1.28E+05
469080-470312	9.16E+04	8.25E+04	1.28E+05	8.56E+04
469080-470312	8.13E+04	8.00E+04	1.35E+05	1.20E+05
469080-470312	9.24E+04	8.63E+04	1.36E+05	1.20E+05
469080-470312	9.20E+04	8.66E+04	1.29E+05	1.16E+05
46917-47987	8.74E+03	1.03E+04	1.13E+04	1.02E+04
46917-47987	8.56E+03	1.08E+04	1.08E+04	9.06E+03
46917-47987	8.97E+03	1.09E+04	1.05E+04	9.87E+03
46917-47987	8.67E+03	1.12E+04	1.03E+04	9.83E+03
470312-471439	1.40E+05	1.11E+05	1.87E+05	1.62E+05
470312-471439	1.36E+05	1.13E+05	2.02E+05	1.67E+05
470312-471439	9.06E+04	1.04E+05	1.93E+05	1.64E+05
470312-471439	1.21E+05	1.12E+05	1.99E+05	1.70E+05
471487-472620	9.24E+04	8.36E+04	1.36E+05	1.07E+05
471487-472620	8.19E+04	7.52E+04	1.29E+05	1.12E+05
471487-472620	8.59E+04	5.96E+04	1.31E+05	1.17E+05
471487-472620	8.85E+04	7.70E+04	1.34E+05	1.21E+05
472653-473438	2.38E+05	1.70E+05	2.98E+05	2.62E+05
472653-473438	2.30E+05	1.74E+05	2.84E+05	2.74E+05
472653-473438	2.48E+05	1.83E+05	3.08E+05	2.87E+05
472653-473438	2.27E+05	1.67E+05	2.93E+05	2.65E+05
473457-474494	1.29E+05	1.27E+05	1.77E+05	1.62E+05
473457-474494	1.28E+05	1.27E+05	1.97E+05	1.62E+05
473457-474494	1.26E+05	1.29E+05	1.69E+05	1.70E+05
473457-474494	1.24E+05	1.27E+05	1.76E+05	1.63E+05
474965-476608	6.13E+03	5.33E+03	5.17E+03	5.40E+03
474965-476608	5.74E+03	5.12E+03	6.07E+03	4.90E+03
474965-476608	5.42E+03	5.26E+03	5.63E+03	5.58E+03
474965-476608	5.32E+03	5.87E+03	5.53E+03	5.25E+03
477999-478328	8.63E+03	6.57E+03	8.41E+03	6.04E+03
477999-478328	8.13E+03	5.59E+03	7.36E+03	7.49E+03
477999-478328	8.10E+03	5.42E+03	7.65E+03	7.76E+03
477999-478328	8.23E+03	5.62E+03	6.90E+03	7.15E+03
478328-479050	5.60E+03	5.14E+03	5.38E+03	5.33E+03
478328-479050	5.56E+03	5.02E+03	5.90E+03	5.03E+03
478328-479050	4.11E+03	4.73E+03	5.83E+03	5.56E+03
478328-479050	5.55E+03	5.41E+03	5.95E+03	5.66E+03
479068-480435	4.81E+04	3.60E+04	4.90E+04	5.36E+04
479068-480435	3.95E+04	3.26E+04	5.37E+04	5.34E+04
479068-480435	4.68E+04	3.09E+04	4.73E+04	5.32E+04
479068-480435	4.83E+04	3.36E+04	4.92E+04	5.46E+04
480432-480590	2.04E+04	1.47E+04	2.08E+04	2.12E+04
480432-480590	1.90E+04	1.42E+04	1.98E+04	2.25E+04
480432-480590	1.45E+04	1.51E+04	1.64E+04	2.20E+04
480432-480590	2.09E+04	1.47E+04	1.97E+04	2.12E+04
480597-480878	6.58E+03	5.86E+03	6.73E+03	6.16E+03
480597-480878	6.52E+03	6.11E+03	6.12E+03	6.24E+03
480597-480878	6.14E+03	6.36E+03	5.54E+03	6.03E+03
480597-480878	7.03E+03	5.73E+03	6.07E+03	6.60E+03
48076-49170	1.53E+05	9.76E+04	1.42E+05	1.46E+05
48076-49170	1.41E+05	9.67E+04	1.52E+05	1.48E+05
48076-49170	1.12E+05	9.78E+04	1.42E+05	1.45E+05
48076-49170	1.43E+05	1.23E+05	1.47E+05	1.44E+05
480966-481745	2.43E+02	2.52E+02	3.90E+02	1.83E+02
480966-481745	3.18E+02	3.23E+02	3.74E+02	1.66E+02
480966-481745	2.84E+02	1.98E+02	9.34E+01	2.63E+02
480966-481745	3.84E+02	3.82E+02	8.68E+02	1.93E+02
481742-482593	1.33E+02	6.87E+01	8.66E+01	1.63E+02
481742-482593	2.69E+02	7.70E+01	7.93E+01	6.80E+01
481742-482593	8.14E+01	1.20E+02	3.70E+02	6.70E+01
481742-482593	1.35E+02	1.41E+02	7.77E+01	1.82E+02
482590-483075	1.16E+02	5.06E+01	8.73E+01	7.43E+01
482590-483075	5.22E+01	3.92E+01	9.53E+01	8.08E+01
482590-483075	1.68E+02	8.00E+01	1.89E+02	9.40E+01
482590-483075	1.06E+02	4.13E+01	1.40E+02	8.72E+01
483072-484856	5.41E+02	4.16E+02	2.91E+02	4.24E+02
483072-484856	4.96E+02	4.35E+02	7.48E+02	4.74E+02
483072-484856	5.42E+02	4.69E+02	7.14E+02	5.72E+02
483072-484856	5.35E+02	5.15E+02	6.43E+02	6.48E+02
484903-484995	1.64E+02	9.81E+01	1.52E+02	1.71E+02
484903-484995	2.44E+02	1.02E+02	1.24E+02	1.80E+02
484903-484995	6.61E+01	5.56E+01	8.62E+01	6.91E+01
484903-484995	1.33E+02	1.08E+02	8.01E+01	1.83E+02
485020-485331	1.65E+02	2.46E+02	3.84E+02	1.78E+02
485020-485331	2.07E+02	1.64E+02	2.69E+02	2.61E+02
485020-485331	2.02E+02	1.68E+02	8.04E+01	4.01E+02
485020-485331	2.53E+02	3.73E+02	1.22E+02	2.33E+02
485335-485550	3.87E+01	4.15E+01	9.02E+01	7.75E+01
485335-485550	6.18E+01	3.78E+01	8.60E+01	7.07E+01
485335-485550	1.10E+02	1.18E+02	2.21E+02	7.38E+01
485335-485550	6.44E+01	4.63E+01	1.85E+02	6.69E+01
485569-486432	2.56E+02	3.10E+02	4.38E+02	4.92E+02
485569-486432	3.32E+02	3.72E+02	4.26E+02	4.45E+02
485569-486432	3.59E+02	4.08E+02	3.25E+02	3.01E+02
485569-486432	4.00E+02	4.40E+02	3.15E+02	4.40E+02
486450-486713	3.80E+01	4.16E+01	9.46E+01	2.41E+02
486450-486713	2.73E+01	5.00E+01	1.91E+02	6.69E+01
486450-486713	6.39E+01	3.91E+01	8.32E+01	6.80E+01
486450-486713	2.81E+01	3.72E+01	2.52E+02	6.73E+01
486717-487106	3.46E+01	4.32E+01	8.73E+01	7.34E+01
486717-487106	5.69E+01	3.85E+01	8.47E+01	7.67E+01
486717-487106	3.03E+01	3.68E+01	8.16E+01	1.15E+02
486717-487106	2.96E+01	4.08E+01	8.32E+01	8.22E+01
487054-489447	5.04E+01	3.70E+01	1.12E+02	6.87E+01
487054-489447	2.80E+01	3.86E+01	7.64E+01	7.14E+01
487054-489447	2.99E+01	3.52E+01	8.02E+01	6.62E+01
487054-489447	2.97E+01	4.02E+01	8.29E+01	8.18E+01
489451-491583	4.78E+02	6.77E+02	1.06E+03	6.64E+02
489451-491583	5.82E+02	6.19E+02	4.70E+02	6.22E+02
489451-491583	6.38E+02	7.12E+02	5.97E+02	4.13E+02
489451-491583	6.25E+02	5.69E+02	3.63E+02	6.10E+02
491595-491834	2.92E+01	3.92E+01	8.03E+01	7.31E+01
491595-491834	2.56E+01	3.55E+01	7.97E+01	6.57E+01
491595-491834	6.81E+01	9.42E+01	7.85E+01	6.62E+01
491595-491834	1.05E+02	3.88E+01	7.80E+01	6.86E+01
491809-493350	5.46E+01	4.16E+01	8.81E+01	7.18E+01
491809-493350	7.34E+01	3.57E+01	4.24E+02	2.30E+02
491809-493350	9.97E+01	2.00E+02	1.29E+02	1.19E+02
491809-493350	1.40E+02	4.18E+01	1.31E+02	8.17E+01
49299-51476	5.61E+04	4.28E+04	7.17E+04	6.84E+04
49299-51476	5.13E+04	4.53E+04	5.81E+04	5.83E+04
49299-51476	3.67E+04	3.69E+04	7.37E+04	5.63E+04
49299-51476	4.63E+04	4.27E+04	6.42E+04	5.82E+04
493445-495151	4.24E+02	3.58E+02	3.63E+02	5.58E+02
493445-495151	4.51E+02	2.99E+02	6.17E+02	3.98E+02
493445-495151	5.46E+02	2.87E+02	4.09E+02	4.11E+02
493445-495151	4.09E+02	4.27E+02	5.15E+02	3.60E+02
495221-496039	2.30E+04	2.44E+04	2.07E+04	1.90E+04
495221-496039	1.98E+04	2.10E+04	2.17E+04	1.84E+04
495221-496039	2.33E+04	2.52E+04	2.23E+04	1.70E+04
495221-496039	2.01E+04	2.05E+04	1.97E+04	1.87E+04
496122-504845	8.70E+02	4.49E+02	9.44E+02	9.80E+02
496122-504845	6.72E+02	6.18E+02	9.25E+02	7.62E+02
496122-504845	7.62E+02	5.18E+02	8.91E+02	9.48E+02
496122-504845	8.15E+02	5.94E+02	8.67E+02	8.91E+02
504870-505547	3.81E+02	1.88E+02	4.22E+02	2.09E+02
504870-505547	2.12E+02	2.23E+02	3.01E+02	5.53E+02
504870-505547	1.67E+02	6.47E+01	8.36E+01	2.37E+02
504870-505547	2.28E+02	1.49E+02	2.44E+02	1.39E+02
507601-507825	5.24E+03	5.04E+03	4.21E+03	4.90E+03
507601-507825	5.93E+03	4.75E+03	4.68E+03	4.68E+03
507601-507825	5.41E+03	4.62E+03	4.93E+03	4.85E+03
507601-507825	5.11E+03	4.74E+03	4.57E+03	5.16E+03
507900-508880	1.89E+04	1.34E+04	1.70E+04	1.73E+04
507900-508880	1.52E+04	1.20E+04	1.62E+04	1.56E+04
507900-508880	1.76E+04	1.34E+04	1.29E+04	1.61E+04
507900-508880	1.77E+04	1.36E+04	1.58E+04	1.62E+04
509017-509619	5.28E+02	4.72E+02	4.36E+02	4.24E+02
509017-509619	5.63E+02	5.15E+02	5.64E+02	5.32E+02
509017-509619	6.27E+02	5.72E+02	6.54E+02	6.02E+02
509017-509619	5.47E+02	5.88E+02	6.28E+02	7.13E+02
509624-510316	5.53E+02	2.85E+02	2.69E+02	5.93E+02
509624-510316	5.11E+02	3.31E+02	3.05E+02	3.25E+02
509624-510316	4.23E+02	2.77E+02	3.12E+02	3.94E+02
509624-510316	4.00E+02	3.12E+02	1.70E+02	4.04E+02
510328-511800	2.46E+02	2.22E+02	1.36E+02	1.18E+02
510328-511800	2.63E+02	2.39E+02	3.43E+02	2.23E+02
510328-511800	2.92E+02	3.94E+02	2.43E+02	3.30E+02
510328-511800	2.41E+02	2.23E+02	1.39E+02	2.39E+02
511790-513520	2.15E+02	2.29E+02	1.22E+02	2.35E+02
511790-513520	2.29E+02	2.66E+02	3.90E+02	2.09E+02
511790-513520	2.02E+02	3.08E+02	2.15E+02	1.58E+02
511790-513520	4.91E+02	3.82E+02	2.11E+02	3.79E+02
513521-515269	9.34E+02	8.10E+02	1.19E+03	1.00E+03
513521-515269	8.76E+02	8.16E+02	1.10E+03	9.13E+02
513521-515269	8.33E+02	1.07E+03	1.10E+03	1.01E+03
513521-515269	1.08E+03	8.60E+02	1.27E+03	1.00E+03
515285-516637	3.95E+01	4.07E+01	8.43E+01	1.04E+02
515285-516637	7.50E+01	5.21E+01	8.21E+01	6.65E+01
515285-516637	6.53E+01	7.54E+01	7.87E+01	1.38E+02
515285-516637	3.29E+01	4.20E+01	2.16E+02	8.79E+01
516879-517364	2.97E+01	3.94E+01	1.05E+02	6.81E+01
516879-517364	2.68E+01	3.66E+01	7.70E+01	6.87E+01
516879-517364	4.05E+01	3.51E+01	1.62E+02	6.66E+01
516879-517364	2.90E+01	4.14E+01	7.95E+01	7.59E+01
517828-517974	7.41E+01	3.72E+01	1.46E+02	3.17E+02
517828-517974	4.74E+01	3.87E+01	8.41E+01	1.71E+02
517828-517974	9.83E+01	7.21E+01	7.82E+01	7.23E+01
517828-517974	3.39E+01	4.63E+01	8.32E+01	6.74E+01
518036-519802	8.46E+03	8.76E+03	9.04E+03	8.61E+03
518036-519802	8.10E+03	8.25E+03	1.03E+04	8.57E+03
518036-519802	8.17E+03	8.57E+03	1.03E+04	8.98E+03
518036-519802	8.38E+03	8.68E+03	1.10E+04	9.47E+03
520154-520309	1.82E+02	1.00E+02	8.48E+01	1.17E+02
520154-520309	1.52E+02	6.99E+01	9.03E+01	1.79E+02
520154-520309	1.32E+02	1.54E+02	1.47E+02	1.44E+02
