ProbeName	6308A	6308B	6308C
1977908-1978711	2.26E+03	2.32E+03	1.19E+03
1977908-1978711	1.98E+03	2.48E+03	1.15E+03
1977908-1978711	2.16E+03	2.51E+03	1.22E+03
1977908-1978711	2.35E+03	2.53E+03	1.29E+03
1978774-1979544	1.79E+02	4.88E+02	7.55E+01
1978774-1979544	1.66E+02	5.28E+02	9.63E+01
1978774-1979544	1.63E+02	4.72E+02	9.21E+01
1978774-1979544	1.09E+02	5.35E+02	8.97E+01
197908-198948	2.21E+03	2.91E+03	1.88E+03
197908-198948	2.36E+03	3.01E+03	1.78E+03
197908-198948	2.47E+03	2.98E+03	1.65E+03
197908-198948	2.56E+03	2.93E+03	1.71E+03
1979561-1980664	2.56E+03	4.07E+03	9.42E+02
1979561-1980664	1.58E+03	3.14E+03	1.08E+03
1979561-1980664	1.58E+03	3.74E+03	1.12E+03
1979561-1980664	2.64E+03	4.80E+03	1.18E+03
1980665-1981354	1.15E+02	3.69E+02	6.09E+01
1980665-1981354	9.30E+01	3.71E+02	5.15E+01
1980665-1981354	1.02E+02	3.71E+02	6.23E+01
1980665-1981354	9.25E+01	3.40E+02	5.46E+01
1981542-1982936	1.59E+02	1.91E+02	1.97E+02
1981542-1982936	2.46E+02	1.55E+02	1.69E+02
1981542-1982936	2.36E+02	1.76E+02	1.85E+02
1981542-1982936	2.54E+02	1.93E+02	1.43E+02
1983453-1984820	2.10E+03	2.10E+03	1.23E+03
1983453-1984820	1.98E+03	2.34E+03	1.20E+03
1983453-1984820	2.23E+03	2.22E+03	1.26E+03
1983453-1984820	1.87E+03	1.99E+03	1.43E+03
1984845-1985453	7.16E+03	8.93E+03	4.43E+03
1984845-1985453	7.33E+03	8.60E+03	5.24E+03
1984845-1985453	7.37E+03	8.41E+03	4.69E+03
1984845-1985453	7.80E+03	9.27E+03	4.87E+03
1985501-1985872	2.54E+03	2.81E+03	1.48E+03
1985501-1985872	2.29E+03	2.36E+03	1.31E+03
1985501-1985872	2.38E+03	2.53E+03	1.36E+03
1985501-1985872	3.03E+03	2.74E+03	1.31E+03
1986051-1986389	3.25E+04	2.96E+04	2.98E+04
1986051-1986389	3.31E+04	3.25E+04	3.14E+04
1986051-1986389	3.30E+04	3.09E+04	2.87E+04
1986051-1986389	3.09E+04	2.84E+04	2.68E+04
1986855-1987358	4.52E+03	4.61E+03	3.48E+03
1986855-1987358	5.25E+03	5.28E+03	3.59E+03
1986855-1987358	5.13E+03	4.97E+03	3.75E+03
1986855-1987358	5.19E+03	5.29E+03	3.79E+03
1987405-1988364	3.04E+03	2.51E+03	2.21E+03
1987405-1988364	2.91E+03	2.55E+03	2.15E+03
1987405-1988364	2.89E+03	2.42E+03	2.34E+03
1987405-1988364	2.95E+03	2.49E+03	1.98E+03
1988368-1988838	6.25E+03	5.67E+03	5.04E+03
1988368-1988838	6.36E+03	6.18E+03	5.38E+03
1988368-1988838	6.44E+03	5.94E+03	5.23E+03
1988368-1988838	6.59E+03	5.71E+03	5.09E+03
1988874-1989305	5.05E+03	4.67E+03	3.85E+03
1988874-1989305	5.40E+03	5.36E+03	4.20E+03
1988874-1989305	4.81E+03	4.45E+03	3.67E+03
1988874-1989305	4.86E+03	4.47E+03	3.41E+03
1990110-1991399	3.23E+03	3.68E+03	2.10E+03
1990110-1991399	3.65E+03	3.36E+03	2.31E+03
1990110-1991399	3.50E+03	3.23E+03	2.35E+03
1990110-1991399	3.50E+03	3.35E+03	2.23E+03
199087-199539	3.17E+03	3.23E+03	2.60E+03
199087-199539	3.46E+03	3.47E+03	2.28E+03
199087-199539	3.39E+03	3.77E+03	2.37E+03
199087-199539	3.52E+03	3.28E+03	2.61E+03
1991453-1992532	2.15E+03	1.53E+03	1.25E+03
1991453-1992532	2.10E+03	1.53E+03	1.32E+03
1991453-1992532	2.24E+03	1.68E+03	1.22E+03
1991453-1992532	2.45E+03	1.74E+03	1.17E+03
1992553-1995981	4.81E+03	3.46E+03	3.33E+03
1992553-1995981	4.98E+03	3.31E+03	3.37E+03
1992553-1995981	4.70E+03	3.82E+03	3.23E+03
1992553-1995981	5.72E+03	4.06E+03	3.39E+03
1993567-1994685	3.71E+03	4.22E+03	3.59E+03
1993567-1994685	4.72E+03	4.27E+03	3.26E+03
1993567-1994685	5.41E+03	5.09E+03	3.68E+03
1993567-1994685	4.47E+03	4.75E+03	4.14E+03
199539-200255	4.45E+03	4.37E+03	3.31E+03
199539-200255	4.56E+03	4.14E+03	3.92E+03
199539-200255	5.22E+03	4.62E+03	3.84E+03
199539-200255	5.60E+03	5.28E+03	4.32E+03
1999657-1999938	5.03E+02	8.36E+02	2.66E+02
1999657-1999938	4.95E+02	8.71E+02	2.56E+02
1999657-1999938	3.80E+02	1.07E+03	2.77E+02
1999657-1999938	4.02E+02	7.90E+02	2.55E+02
1999657-1999938	4.94E+02	7.85E+02	3.61E+02
2000187-2000456	1.24E+03	1.24E+03	4.21E+02
2000187-2000456	1.32E+03	1.24E+03	4.34E+02
2000187-2000456	1.33E+03	1.35E+03	4.73E+02
2000187-2000456	1.20E+03	1.36E+03	4.78E+02
2000187-2000456	1.28E+03	1.25E+03	4.53E+02
2000501-2000824	4.17E+03	3.78E+03	1.76E+03
2000501-2000824	3.95E+03	3.79E+03	1.92E+03
2000501-2000824	5.11E+03	4.63E+03	1.96E+03
2000501-2000824	4.04E+03	3.75E+03	1.83E+03
2000501-2000824	3.65E+03	3.26E+03	1.72E+03
200245-200721	5.11E+03	4.97E+03	3.89E+03
200245-200721	5.58E+03	5.08E+03	3.97E+03
200245-200721	5.91E+03	5.61E+03	4.08E+03
200245-200721	8.44E+03	5.55E+03	3.97E+03
2005891-2007042	2.03E+03	1.95E+03	1.37E+03
2005891-2007042	2.31E+03	2.44E+03	1.48E+03
2005891-2007042	2.36E+03	2.23E+03	1.63E+03
2005891-2007042	2.28E+03	2.14E+03	1.41E+03
2005891-2007042	2.11E+03	2.16E+03	1.38E+03
2007160-2007798	7.09E+03	7.75E+03	4.89E+03
2007160-2007798	6.29E+03	8.14E+03	4.69E+03
2007160-2007798	6.05E+03	7.89E+03	4.55E+03
2007160-2007798	6.43E+03	7.35E+03	4.57E+03
2007160-2007798	6.58E+03	8.65E+03	4.60E+03
200727-201743	5.26E+03	5.99E+03	4.65E+03
200727-201743	4.84E+03	5.86E+03	4.48E+03
200727-201743	5.34E+03	4.96E+03	4.37E+03
200727-201743	5.65E+03	5.21E+03	4.23E+03
2007799-2008821	3.03E+03	2.43E+03	2.11E+03
2007799-2008821	3.07E+03	2.53E+03	2.05E+03
2007799-2008821	3.02E+03	2.43E+03	1.90E+03
2007799-2008821	2.96E+03	2.58E+03	1.83E+03
2007799-2008821	3.30E+03	2.78E+03	1.89E+03
2008811-2009431	4.50E+02	3.94E+02	3.86E+02
2008811-2009431	5.06E+02	4.57E+02	4.77E+02
2008811-2009431	5.16E+02	4.11E+02	4.34E+02
2008811-2009431	4.66E+02	4.44E+02	4.20E+02
2008811-2009431	4.89E+02	5.00E+02	4.42E+02
2011031-2012278	3.08E+02	7.38E+02	2.13E+02
2011031-2012278	2.93E+02	6.50E+02	2.13E+02
2011031-2012278	3.20E+02	6.55E+02	2.04E+02
2011031-2012278	2.59E+02	6.53E+02	2.14E+02
2011031-2012278	3.15E+02	7.50E+02	2.23E+02
2012365-2014359	5.84E+02	7.15E+02	4.83E+02
2012365-2014359	5.91E+02	7.61E+02	4.20E+02
2012365-2014359	7.12E+02	8.30E+02	5.62E+02
2012365-2014359	5.93E+02	7.38E+02	4.30E+02
2012365-2014359	5.52E+02	7.94E+02	4.65E+02
2014359-2015681	1.16E+03	1.95E+03	1.27E+03
2014359-2015681	1.41E+03	1.73E+03	9.11E+02
2014359-2015681	1.60E+03	2.02E+03	1.25E+03
2014359-2015681	1.62E+03	1.92E+03	1.21E+03
2014359-2015681	1.71E+03	2.16E+03	1.14E+03
2015960-2017246	7.54E+01	5.68E+02	2.58E+01
2015960-2017246	5.99E+01	5.96E+02	4.02E+01
2015960-2017246	6.44E+01	6.12E+02	3.82E+01
2015960-2017246	7.52E+01	5.99E+02	2.72E+01
2015960-2017246	8.11E+01	5.81E+02	4.00E+01
2017332-2018639	8.27E+02	1.53E+03	2.75E+03
2017332-2018639	1.10E+03	1.77E+03	2.03E+03
2017332-2018639	1.37E+03	1.83E+03	2.22E+03
2017332-2018639	1.23E+03	1.80E+03	2.25E+03
2017332-2018639	1.29E+03	1.85E+03	2.22E+03
2018941-2019648	1.65E+03	2.30E+03	9.00E+02
2018941-2019648	1.74E+03	2.35E+03	9.09E+02
2018941-2019648	1.31E+03	2.56E+03	1.03E+03
2018941-2019648	1.39E+03	2.11E+03	1.00E+03
2018941-2019648	1.92E+03	2.61E+03	1.20E+03
2019650-2021008	5.79E+02	1.12E+03	5.49E+02
2019650-2021008	6.86E+02	1.30E+03	5.16E+02
2019650-2021008	7.10E+02	1.37E+03	4.89E+02
2019650-2021008	6.63E+02	1.47E+03	4.94E+02
2019650-2021008	6.47E+02	1.42E+03	5.06E+02
202040-204748	1.08E+03	1.14E+03	1.32E+03
202040-204748	1.59E+03	1.42E+03	1.56E+03
202040-204748	1.48E+03	1.38E+03	1.37E+03
202040-204748	1.66E+03	1.37E+03	1.39E+03
2021098-2021532	8.33E+02	1.27E+03	4.95E+02
2021098-2021532	9.44E+02	1.50E+03	5.82E+02
2021098-2021532	1.01E+03	1.36E+03	5.80E+02
2021098-2021532	7.97E+02	1.25E+03	5.62E+02
2021098-2021532	7.62E+02	1.18E+03	4.85E+02
2024021-2025010	4.79E+03	4.91E+03	2.57E+03
2024021-2025010	5.30E+03	5.11E+03	2.70E+03
2024021-2025010	5.91E+03	5.72E+03	3.06E+03
2024021-2025010	5.89E+03	6.06E+03	3.17E+03
2024021-2025010	5.82E+03	6.30E+03	2.91E+03
2025082-2025822	4.33E+03	4.65E+03	2.12E+03
2025082-2025822	4.33E+03	5.00E+03	2.06E+03
2025082-2025822	4.66E+03	4.54E+03	2.17E+03
2025082-2025822	4.57E+03	4.98E+03	2.32E+03
2025082-2025822	4.57E+03	5.35E+03	2.13E+03
2026038-2027189	4.97E+04	4.17E+04	3.10E+04
2026038-2027189	5.60E+04	4.61E+04	3.20E+04
2026038-2027189	5.19E+04	4.40E+04	3.13E+04
2026038-2027189	5.60E+04	4.75E+04	3.25E+04
2026038-2027189	4.96E+04	4.64E+04	3.27E+04
2027214-2027969	1.59E+04	1.22E+04	1.52E+04
2027214-2027969	1.59E+04	1.31E+04	1.60E+04
2027214-2027969	1.48E+04	1.15E+04	1.20E+04
2027214-2027969	1.70E+04	1.33E+04	1.51E+04
2027214-2027969	1.70E+04	1.35E+04	1.57E+04
2028161-2030548	3.25E+03	2.46E+03	2.34E+03
2028161-2030548	3.46E+03	2.32E+03	2.80E+03
2028161-2030548	3.90E+03	2.81E+03	2.83E+03
2028161-2030548	4.19E+03	3.01E+03	2.97E+03
2028161-2030548	3.75E+03	2.70E+03	2.78E+03
2031301-2031891	3.57E+02	4.37E+02	2.80E+02
2031301-2031891	4.06E+02	5.26E+02	2.44E+02
2031301-2031891	5.22E+02	4.58E+02	2.70E+02
2031301-2031891	3.95E+02	5.45E+02	2.67E+02
2031301-2031891	4.89E+02	4.96E+02	2.67E+02
2032005-2032850	2.59E+02	5.48E+02	1.99E+02
2032005-2032850	2.41E+02	5.03E+02	2.04E+02
2032005-2032850	2.56E+02	5.12E+02	2.47E+02
2032005-2032850	2.83E+02	5.57E+02	2.59E+02
2032005-2032850	3.20E+02	5.39E+02	2.70E+02
2032847-2033530	4.79E+02	9.36E+02	3.38E+02
2032847-2033530	5.96E+02	7.18E+02	3.13E+02
2032847-2033530	5.75E+02	9.24E+02	3.96E+02
2032847-2033530	6.06E+02	8.24E+02	3.64E+02
2032847-2033530	6.07E+02	8.27E+02	3.73E+02
2033527-2034243	1.54E+02	2.61E+02	1.03E+02
2033527-2034243	1.61E+02	2.56E+02	9.91E+01
2033527-2034243	9.09E+01	1.93E+02	1.22E+02
2033527-2034243	1.48E+02	2.25E+02	1.04E+02
2033527-2034243	1.24E+02	2.22E+02	9.60E+01
2034340-2034603	1.08E+03	1.75E+03	7.72E+02
2034340-2034603	1.10E+03	1.84E+03	6.94E+02
2034340-2034603	1.13E+03	1.56E+03	7.51E+02
2034340-2034603	1.03E+03	1.72E+03	7.12E+02
2034340-2034603	1.14E+03	1.85E+03	7.84E+02
2034575-2035030	2.04E+03	3.15E+03	1.81E+03
2034575-2035030	2.32E+03	3.22E+03	2.02E+03
2034575-2035030	2.04E+03	3.30E+03	1.77E+03
2034575-2035030	2.38E+03	3.32E+03	2.03E+03
2034575-2035030	1.76E+03	2.92E+03	1.73E+03
2035082-2035543	9.82E+02	1.11E+03	8.32E+02
2035082-2035543	1.02E+03	1.27E+03	7.19E+02
2035082-2035543	9.29E+02	1.32E+03	7.18E+02
2035082-2035543	8.84E+02	1.18E+03	6.68E+02
2035082-2035543	8.55E+02	1.07E+03	6.54E+02
2035593-2036495	1.15E+03	1.52E+03	1.40E+03
2035593-2036495	1.07E+03	1.36E+03	1.33E+03
2035593-2036495	1.05E+03	1.38E+03	1.23E+03
2035593-2036495	1.19E+03	1.45E+03	1.39E+03
2035593-2036495	1.21E+03	1.39E+03	1.33E+03
2036847-2037677	1.17E+03	1.88E+03	1.04E+03
2036847-2037677	1.31E+03	1.78E+03	1.16E+03
2036847-2037677	1.40E+03	1.78E+03	1.01E+03
2036847-2037677	1.31E+03	1.90E+03	1.16E+03
2036847-2037677	1.32E+03	1.99E+03	1.09E+03
2038088-2038222	3.11E+02	4.36E+02	2.39E+02
2038088-2038222	2.77E+02	3.49E+02	2.21E+02
2038088-2038222	2.71E+02	4.15E+02	2.19E+02
2038088-2038222	2.92E+02	3.70E+02	2.15E+02
2038088-2038222	3.17E+02	3.39E+02	2.54E+02
2038727-2039488	1.45E+03	2.59E+03	9.90E+02
2038727-2039488	1.61E+03	2.40E+03	1.03E+03
2038727-2039488	1.48E+03	2.60E+03	1.10E+03
2038727-2039488	1.53E+03	2.33E+03	1.07E+03
2038727-2039488	1.62E+03	2.63E+03	1.03E+03
2039553-2040335	6.38E+02	9.30E+02	4.50E+02
2039553-2040335	7.66E+02	1.22E+03	7.28E+02
2039553-2040335	8.48E+02	1.16E+03	6.57E+02
2039553-2040335	7.92E+02	1.18E+03	6.60E+02
2039553-2040335	8.66E+02	1.26E+03	7.19E+02
2040602-2041021	5.56E+03	4.69E+03	4.08E+03
2040602-2041021	5.55E+03	4.75E+03	4.47E+03
2040602-2041021	5.66E+03	4.89E+03	4.40E+03
2040602-2041021	5.59E+03	4.81E+03	4.36E+03
2040602-2041021	5.74E+03	4.43E+03	4.47E+03
2041602-2042303	2.93E+03	2.45E+03	1.91E+03
2041602-2042303	3.01E+03	2.48E+03	1.96E+03
2041602-2042303	4.13E+03	3.07E+03	2.34E+03
2041602-2042303	3.35E+03	2.86E+03	2.23E+03
2041602-2042303	3.07E+03	2.40E+03	2.06E+03
2042385-2042993	5.56E+03	5.35E+03	4.71E+03
2042385-2042993	5.51E+03	5.17E+03	4.99E+03
2042385-2042993	6.30E+03	5.66E+03	4.76E+03
2042385-2042993	5.50E+03	3.87E+03	4.12E+03
2042385-2042993	5.96E+03	5.46E+03	4.26E+03
2043317-2043781	6.57E+02	1.15E+03	2.55E+02
2043317-2043781	8.02E+02	1.21E+03	2.85E+02
2043317-2043781	7.82E+02	1.27E+03	2.94E+02
2043317-2043781	7.44E+02	1.18E+03	3.09E+02
2043317-2043781	5.39E+02	1.01E+03	2.97E+02
2044418-2045434	3.99E+02	6.34E+02	2.60E+02
2044418-2045434	4.38E+02	6.06E+02	2.79E+02
2044418-2045434	3.69E+02	6.55E+02	2.95E+02
2044418-2045434	3.67E+02	6.19E+02	2.97E+02
2044418-2045434	3.10E+02	6.49E+02	2.53E+02
2045829-2046998	2.47E+03	1.90E+03	2.03E+03
2045829-2046998	2.62E+03	1.99E+03	1.99E+03
2045829-2046998	2.23E+03	1.90E+03	1.94E+03
2045829-2046998	2.57E+03	1.83E+03	1.89E+03
2045829-2046998	2.41E+03	1.84E+03	1.82E+03
20470-22107	7.83E+03	6.03E+03	4.26E+03
20470-22107	5.81E+03	4.90E+03	4.01E+03
20470-22107	6.81E+03	4.79E+03	4.14E+03
20470-22107	6.72E+03	5.28E+03	3.84E+03
2047379-2051632	5.27E+03	4.45E+03	4.91E+03
2047379-2051632	5.63E+03	4.49E+03	5.02E+03
2047379-2051632	5.80E+03	4.81E+03	5.02E+03
2047379-2051632	5.62E+03	4.83E+03	4.35E+03
2047379-2051632	6.28E+03	4.86E+03	4.35E+03
204752-205009	4.29E+03	4.27E+03	3.49E+03
204752-205009	4.50E+03	4.56E+03	3.67E+03
204752-205009	4.60E+03	4.70E+03	4.03E+03
204752-205009	4.29E+03	4.96E+03	3.89E+03
205002-205952	2.69E+03	4.27E+03	2.45E+03
205002-205952	2.63E+03	3.42E+03	2.19E+03
205002-205952	2.76E+03	3.66E+03	2.29E+03
205002-205952	2.66E+03	3.70E+03	2.16E+03
2051781-2052275	2.24E+03	2.66E+03	1.44E+03
2051781-2052275	2.42E+03	3.01E+03	1.53E+03
2051781-2052275	2.42E+03	3.09E+03	1.52E+03
2051781-2052275	2.66E+03	2.88E+03	1.54E+03
2051781-2052275	2.47E+03	3.10E+03	1.64E+03
2052391-2052768	3.43E+03	4.30E+03	3.06E+03
2052391-2052768	3.89E+03	4.30E+03	3.75E+03
2052391-2052768	4.06E+03	4.40E+03	3.95E+03
2052391-2052768	3.58E+03	4.39E+03	3.73E+03
2052391-2052768	3.89E+03	4.57E+03	3.85E+03
2052974-2053414	1.62E+03	1.74E+03	1.44E+03
2052974-2053414	1.72E+03	1.81E+03	1.57E+03
2052974-2053414	1.64E+03	2.05E+03	1.67E+03
2052974-2053414	1.54E+03	1.89E+03	1.63E+03
2052974-2053414	1.46E+03	1.67E+03	1.71E+03
2054056-2055363	1.56E+03	1.56E+03	1.07E+03
2054056-2055363	1.82E+03	1.69E+03	1.20E+03
2054056-2055363	1.83E+03	1.88E+03	1.19E+03
2054056-2055363	1.84E+03	2.09E+03	1.20E+03
2054056-2055363	1.97E+03	2.07E+03	1.19E+03
2055837-2056640	1.97E+03	1.77E+03	9.46E+02
2055837-2056640	1.75E+03	1.58E+03	1.03E+03
2055837-2056640	2.20E+03	1.80E+03	1.09E+03
2055837-2056640	1.94E+03	1.62E+03	1.01E+03
2055837-2056640	2.18E+03	1.78E+03	1.09E+03
2056678-2057289	2.28E+03	2.27E+03	1.09E+03
2056678-2057289	2.12E+03	2.26E+03	1.11E+03
2056678-2057289	2.02E+03	2.11E+03	1.13E+03
2056678-2057289	2.22E+03	2.27E+03	1.21E+03
2056678-2057289	2.38E+03	2.19E+03	1.07E+03
2057321-2057992	1.26E+03	1.21E+03	8.91E+02
2057321-2057992	1.24E+03	1.33E+03	8.96E+02
2057321-2057992	1.43E+03	1.45E+03	8.37E+02
2057321-2057992	1.42E+03	1.50E+03	9.07E+02
2057321-2057992	1.38E+03	1.40E+03	9.36E+02
2058291-2058653	7.68E+03	6.50E+03	4.50E+03
2058291-2058653	6.65E+03	5.21E+03	3.99E+03
2058291-2058653	8.81E+03	6.44E+03	4.77E+03
2058291-2058653	7.13E+03	4.68E+03	4.07E+03
2058291-2058653	6.77E+03	4.83E+03	4.11E+03
2059089-2059790	1.13E+03	1.13E+03	1.03E+03
2059089-2059790	1.13E+03	1.02E+03	1.03E+03
2059089-2059790	1.05E+03	1.07E+03	9.20E+02
2059089-2059790	1.10E+03	1.12E+03	9.34E+02
2059089-2059790	1.14E+03	1.07E+03	1.00E+03
2060076-2060879	4.33E+03	4.19E+03	3.30E+03
2060076-2060879	4.57E+03	4.38E+03	3.27E+03
2060076-2060879	4.39E+03	4.30E+03	3.48E+03
2060076-2060879	4.69E+03	4.22E+03	3.39E+03
2060076-2060879	6.04E+03	4.72E+03	3.18E+03
2060934-2062082	2.65E+03	2.12E+03	2.27E+03
2060934-2062082	3.10E+03	3.08E+03	3.24E+03
2060934-2062082	3.86E+03	3.57E+03	3.19E+03
2060934-2062082	3.64E+03	2.92E+03	2.49E+03
2060934-2062082	3.30E+03	3.36E+03	2.61E+03
2062226-2063614	3.82E+03	3.32E+03	3.21E+03
2062226-2063614	3.97E+03	3.16E+03	3.25E+03
2062226-2063614	4.14E+03	3.26E+03	3.31E+03
2062226-2063614	4.16E+03	3.11E+03	3.24E+03
2062226-2063614	4.13E+03	3.49E+03	3.19E+03
206267-207229	1.70E+03	1.71E+03	1.36E+03
206267-207229	2.33E+03	2.21E+03	1.44E+03
206267-207229	1.80E+03	1.77E+03	1.11E+03
206267-207229	1.85E+03	1.88E+03	1.15E+03
2063607-2064341	8.81E+03	8.32E+03	6.62E+03
2063607-2064341	9.92E+03	1.06E+04	8.20E+03
2063607-2064341	1.02E+04	1.00E+04	7.71E+03
2063607-2064341	1.17E+04	1.01E+04	7.78E+03
2063607-2064341	9.46E+03	1.01E+04	7.22E+03
2064344-2065777	8.62E+03	6.97E+03	6.11E+03
2064344-2065777	8.84E+03	7.38E+03	6.58E+03
2064344-2065777	9.05E+03	7.21E+03	5.98E+03
2064344-2065777	8.92E+03	6.68E+03	6.00E+03
2064344-2065777	8.80E+03	6.59E+03	6.21E+03
2065799-2066536	1.21E+04	1.12E+04	8.60E+03
2065799-2066536	1.04E+04	1.05E+04	7.92E+03
2065799-2066536	1.15E+04	1.08E+04	7.55E+03
2065799-2066536	1.15E+04	1.08E+04	6.95E+03
2065799-2066536	1.14E+04	9.97E+03	7.65E+03
2067107-2068306	2.20E+03	2.08E+03	1.80E+03
2067107-2068306	2.31E+03	2.64E+03	1.93E+03
2067107-2068306	1.42E+03	2.36E+03	1.47E+03
2067107-2068306	2.90E+03	2.91E+03	1.82E+03
2067107-2068306	2.77E+03	3.00E+03	1.79E+03
2068553-2069599	1.76E+02	4.06E+02	8.73E+01
2068553-2069599	1.24E+02	3.39E+02	8.59E+01
2068553-2069599	1.70E+02	3.39E+02	7.56E+01
2068553-2069599	1.99E+02	3.71E+02	6.31E+01
2068553-2069599	2.14E+02	3.70E+02	7.38E+01
2069707-2070870	1.95E+02	4.83E+02	9.59E+01
2069707-2070870	2.18E+02	6.21E+02	9.13E+01
2069707-2070870	1.51E+02	5.34E+02	9.85E+01
2069707-2070870	2.10E+02	6.14E+02	9.99E+01
2069707-2070870	1.92E+02	5.76E+02	8.97E+01
2075085-2075453	5.46E+03	7.36E+03	4.27E+03
2075085-2075453	5.82E+03	7.99E+03	4.48E+03
2075085-2075453	6.92E+03	8.25E+03	5.09E+03
2075085-2075453	6.45E+03	8.51E+03	4.53E+03
2075085-2075453	7.24E+03	8.98E+03	5.54E+03
2075878-2076123	1.09E+03	2.10E+03	5.80E+02
2075878-2076123	1.02E+03	1.88E+03	7.30E+02
2075878-2076123	1.28E+03	2.18E+03	7.65E+02
2075878-2076123	1.21E+03	2.58E+03	8.32E+02
2075878-2076123	1.58E+03	2.60E+03	8.30E+02
2076222-2076485	2.39E+02	3.82E+02	9.80E+01
2076222-2076485	1.85E+02	3.92E+02	1.03E+02
2076222-2076485	2.16E+02	4.23E+02	9.19E+01
2076222-2076485	2.32E+02	3.94E+02	9.15E+01
2076222-2076485	1.73E+02	4.42E+02	1.06E+02
2079472-2080389	7.26E+03	6.83E+03	4.94E+03
2079472-2080389	7.67E+03	7.21E+03	5.40E+03
2079472-2080389	7.77E+03	7.86E+03	5.42E+03
2079472-2080389	8.55E+03	8.50E+03	6.26E+03
2079472-2080389	8.12E+03	8.81E+03	6.36E+03
2083078-2083968	1.05E+03	8.59E+02	5.94E+02
2083078-2083968	1.20E+03	8.88E+02	5.58E+02
2083078-2083968	1.04E+03	8.37E+02	6.21E+02
2083078-2083968	1.07E+03	8.11E+02	5.44E+02
2083078-2083968	1.15E+03	9.24E+02	5.81E+02
2084186-2085940	2.19E+03	1.98E+03	1.22E+03
2084186-2085940	2.41E+03	2.06E+03	1.19E+03
2084186-2085940	2.48E+03	2.09E+03	1.23E+03
2084186-2085940	2.55E+03	2.18E+03	1.27E+03
2084186-2085940	3.00E+03	2.45E+03	1.43E+03
2086324-2087310	1.84E+03	2.24E+03	1.43E+03
2086324-2087310	2.04E+03	2.63E+03	1.52E+03
2086324-2087310	1.79E+03	2.44E+03	1.35E+03
2086324-2087310	2.00E+03	2.30E+03	1.36E+03
2086324-2087310	2.02E+03	2.33E+03	1.37E+03
2087647-2089128	1.21E+03	1.42E+03	6.78E+02
2087647-2089128	1.19E+03	1.55E+03	6.50E+02
2087647-2089128	1.08E+03	1.61E+03	7.10E+02
2087647-2089128	1.10E+03	1.54E+03	6.24E+02
2087647-2089128	2.42E+03	1.54E+03	6.18E+02
2089154-2090125	7.82E+02	1.29E+03	4.98E+02
2089154-2090125	7.77E+02	1.21E+03	5.00E+02
2089154-2090125	7.15E+02	1.19E+03	5.39E+02
2089154-2090125	7.37E+02	1.22E+03	5.52E+02
2089154-2090125	8.33E+02	1.35E+03	5.15E+02
2091249-2092460	9.91E+02	1.17E+03	1.11E+03
2091249-2092460	1.04E+03	1.32E+03	1.16E+03
2091249-2092460	1.19E+03	1.45E+03	1.37E+03
2091249-2092460	1.27E+03	1.45E+03	1.11E+03
2091249-2092460	1.25E+03	1.46E+03	1.15E+03
2093917-2094294	2.98E+03	2.34E+03	2.74E+03
2093917-2094294	3.48E+03	2.70E+03	2.67E+03
2093917-2094294	3.22E+03	2.56E+03	2.96E+03
2093917-2094294	3.17E+03	2.31E+03	2.53E+03
2093917-2094294	2.78E+03	2.42E+03	2.74E+03
209440-209907	2.16E+03	2.69E+03	1.37E+03
209440-209907	2.35E+03	2.67E+03	1.56E+03
209440-209907	2.49E+03	3.08E+03	1.55E+03
209440-209907	2.81E+03	3.66E+03	1.49E+03
2094825-2095484	6.78E+02	7.19E+02	4.48E+02
2094825-2095484	7.33E+02	7.19E+02	4.29E+02
2094825-2095484	7.66E+02	7.71E+02	5.13E+02
2094825-2095484	6.97E+02	6.85E+02	4.20E+02
2094825-2095484	6.90E+02	6.68E+02	4.84E+02
2095721-2096119	1.85E+03	2.16E+03	1.01E+03
2095721-2096119	1.78E+03	2.21E+03	1.07E+03
2095721-2096119	1.56E+03	1.91E+03	9.32E+02
2095721-2096119	1.76E+03	2.12E+03	9.71E+02
2095721-2096119	1.74E+03	2.28E+03	9.73E+02
2096270-2096683	4.79E+02	5.97E+02	1.98E+02
2096270-2096683	4.23E+02	5.11E+02	1.92E+02
2096270-2096683	4.10E+02	5.02E+02	2.08E+02
2096270-2096683	4.63E+02	5.49E+02	1.87E+02
2096270-2096683	4.13E+02	5.14E+02	1.80E+02
2096885-2097526	3.79E+03	3.18E+03	2.29E+03
2096885-2097526	4.15E+03	3.89E+03	2.69E+03
2096885-2097526	3.57E+03	3.35E+03	2.80E+03
2096885-2097526	5.40E+03	4.57E+03	3.03E+03
2096885-2097526	4.81E+03	3.61E+03	2.50E+03
2097550-2098803	8.30E+03	9.19E+03	5.04E+03
2097550-2098803	8.90E+03	8.89E+03	5.18E+03
2097550-2098803	8.62E+03	1.06E+04	5.29E+03
2097550-2098803	8.54E+03	9.34E+03	4.98E+03
2097550-2098803	8.70E+03	9.57E+03	4.88E+03
2098849-2099499	8.88E+03	8.51E+03	4.85E+03
2098849-2099499	8.74E+03	7.25E+03	5.00E+03
2098849-2099499	9.12E+03	7.34E+03	4.80E+03
2098849-2099499	8.52E+03	6.88E+03	4.38E+03
2098849-2099499	5.51E+03	7.03E+03	4.14E+03
2099550-2100146	3.09E+03	2.80E+03	1.20E+03
2099550-2100146	3.18E+03	3.43E+03	1.33E+03
2099550-2100146	3.09E+03	3.05E+03	1.18E+03
